seller_id;order_count;avg_price;avg_tech_price;total_sales;tech_sales;total_monthly;tech_ratio
0015a82c2db000af6aaaf3ae2ecb0532;3;895;NULL;2685;0;107.4;0
001cca7ae9ae17fb1caed9dfb1094831;200;104.93736391586239;NULL;25080.029975891113;0;1003.2011990356445;0
002100f778ceb8431b7a1020ff7ab48f;51;22.445454198663885;NULL;1234.4999809265137;0;49.379999237060545;0
003554e2dce176b5555353e4f3555ac8;1;120;NULL;120;0;4.8;0
004c9cd9d87a3c30c522c48c4fc07416;158;115.95711768655217;NULL;19712.710006713867;0;788.5084002685547;0
00720abe85ba0859807595bbf045a33b;13;38.750000073359566;NULL;1007.5000019073486;0;40.30000007629395;0
00ab3eff1b5192e5f1a63bcecfee11c8;1;98;NULL;98;0;3.92;0
00d8b143d12632bad99c0ad66ad52825;1;86;NULL;86;0;3.44;0
00ee68308b45bc5e2660cd833c3f81cc;135;117.79069767441861;NULL;20260;0;810.4;0
00fc707aaaad2d31347cf883cd2dfe10;103;93.96222234655309;93.96222234655309;12684.900016784668;12684.900016784668;507.39600067138673;1
010543a62bd80aa422851e79a3bc7540;2;708;708;1416;1416;56.64;1
010da0602d7774602cd1b3f5fb7b709e;1;169.89999389648438;NULL;849.4999694824219;0;33.97999877929688;0
011b0eaba87386a2ae96a7d32bb531d1;1;49.9900016784668;NULL;99.9800033569336;0;3.9992001342773436;0
01266d4c46afa519678d16a8b683d325;3;30.083333651224773;NULL;90.25000095367432;0;3.6100000381469726;0
013900e863eace745d3ec7614cab5b1a;23;62.29615372877855;NULL;1619.6999969482422;0;64.78799987792969;0
014c0679dd340a0e338872e7ec85666a;14;470.53333333333336;NULL;7058;0;282.32;0
014d9a685fd57276679edd00e07089e5;11;60.8233331044515;69.98999786376953;729.879997253418;209.9699935913086;29.19519989013672;0.28767741872833646
0176f73cc1195f367f7b32db1e5b3aa8;38;121.36153666178386;NULL;4733.09992980957;0;189.32399719238282;0
01bcc9d254a0143f0ce9791b960b2a47;11;138.29181671142578;NULL;1521.2099838256836;0;60.84839935302735;0
01c97ebb5cdac52891c0ed1c37ba0012;9;48.12499984105428;48.12499984105428;577.4999980926514;577.4999980926514;23.099999923706054;1
01cf7e3d21494c41fb86034f2e714fa1;61;145.2143285950618;82.24166870117188;9729.36001586914;493.45001220703125;389.1744006347656;0.05071762288600547
01ed254b9ff8407dfb9d99ba1e17d923;5;293.19799957275393;293.19799957275393;1465.9899978637695;1465.9899978637695;58.63959991455078;1
01fd077212124329bac32490e8ef80d9;31;30.974358974358974;NULL;1208;0;48.32;0
